Country Code,DB Name,Patent/Utility,Kind Code,Title,Abstract,\,No. of Claims,Application Number,Application Date,Unexamined Pub. Number,Unexamined Pub. Date,Granted Number,Granted Date,Applicant,Inventor,Priority Number,Priority Country,Priority Date,No. of Citation Reference (B1),Citation Reference (B1),No. of Forward Reference (F1),Forward Reference (F1),WIPS Family (Appl. Base),No. of WIPS Family (Appl. Base),"Status[KR,JP,EP]",Status[US],"Current Applicant[KR,JP,US]",WIPSGLOBAL KEY,Title(Keyword),Abstract(Keyword)
CN,CN,P,A ,A kind of P2P electronics contract method of commerce based on block chain,"The present invention proposes a kind of block chain P2P physical commodity method of commerce of the decentralization based on block chain electronics contract technology, for physical commodity transaction of the stranger in the case where no third side intervenes, devise a kind of mechanism of the both parties mortgage digital asset as cash pledge of merchandising, introduce both parties mutually comments mechanism, introduce on line physical commodity connected transaction mechanism under digital asset and line, both sides are needed to pay cash pledge, and confirmation operation, the digital asset exchange of completion and commodity equivalence on electronics contract after delivering, receiving.It solves in traditional P2P e-commerce transactions, the problem of credit heavy dependence third-party platform management and control；Using block chain technical advantage, third-party platform management and control is got around, saves both sides' online trading cost；Solve the related question that digital asset exchanges on block chain and entity asset exchanges.Using block chain technical characterstic the believable physical commodity transaction of both parties is completed in no online transaction third-party platform.This can not only reduce transaction cost, but also can improve trading efficiency and user experience.","1. a kind of block chain P2P physical commodity method of commerce of the decentralization based on block chain electronics contract technology is used for footpath between fields Physical commodity transaction of the stranger in the case where no third side intervenes：In the method：User A and B is the P2P electronics contract both parties based on block chain, and electronics contract and historical trading data are stored in area On block chain, external disclosure, and can not distort；Specific implementation method can be divided into transaction last stage, formal transactional stage and stage after sale；It merchandises the last stage：（1）User A registration goods on electronics contract carry out commodity key property and parameter description, and are arranged and replace delivery date Limit, pays respective digital assets cash pledge；（2）User A is based on block chain technical principle, registration and publishing commodity on the electronics contract；（3）Commodity to be transacted enter state for sale；（4）User B is intended to buy commodity by the electronics contract, and payment for merchandise corresponds to digital asset, pays the signature of respective digital assets Gold, setting are received the time limit；（5）Commodity to be transacted enter in the electronics contract waits for delivery state, and registers receiving the time limit for user B；（6）The electronics contract monitoring user A and B either one or both whether Cancel Transaction；If cancelling, electronics contract state weight Newly return to step（3）, i.e., commodity to be transacted enter state for sale；If not cancelling, step will be executed（7）, into formal transaction rank Section；Formal transactional stage：（7）User A is packaged commodity, and prepares logistics order；（8）Logistics order information is input to the electronics contract by user A；（9）Commodity enter in the electronics contract waits for user B to receive state；（10）Judge whether state to be received is overtime within the electronics contract prescribed time-limit：In the case of when non-super, user B confirms Commodity are received, step is completed（16）, execute step（17）；If overtime, step is executed（11）；（11）The goods registration is "" loss "" by the electronics contract, wherein so-called "" loss "" is included the delivery of seller's falseness, filled with secondary Good and buyer's actual receipts but the case where do not confirm；（12）The electronics contract deducts both sides' cash pledge；（13）The electronics contract is closed to merchandise and open both sides and mutually be commented；（14）User A and user B is traded credit appraisal；（15）The credit appraisal of the electronics contract record user A and B are as a result, by the cash pledge of deduction for credit inquiry in contract；（16）User B acknowledges receipt of commodity；（17）Commodity confirm state of receiving into access customer B；（18）The electronics contract opens the goods return and replacement time limit；（19）The electronics contract judges whether the goods return and replacement time limit is overtime；If overtime, step is executed（20）；If having not timed out, step is executed Suddenly（22）, into the stage after sale；（20）The electronics contract discharges respective digital assets to user A and B；（21）Electronics contract is closed to merchandise and open both sides and mutually be commented；Stage after sale：（22）Whether user B confirms transaction；If confirming, step is executed（20）；If unconfirmed, step will be executed（23）；（23）User B initiates to return goods, and is packaged commodity, prepares returning note；（24）Logistics order is input in the electronics contract by user B；（25）Commodity enter in the electronics contract waits for that user A receives state；（26）The electronics contract judges whether user A acknowledges receipt of commodity within the contract prescribed time-limit；If user A is acknowledged receipt of Commodity execute step（28）；If A does not acknowledge receipt of commodity within the time limit, step is executed（27）（Repeat step（11）-（15））；（27）Step is repeated（11）-（15）；（28）User A checks commodity；（29）User A confirms whether commodity are normal；If normal, step is executed（30）；Step will be executed if abnormal,（31）；（30）Step is repeated（13）；（31）Step is repeated（13）-（15）.",6.0,2018-10409391,2018-04-26,108573434,2018-09-25,,,Pond Yu,Pond Yu,,,,0.0,,0.0,,CN108573434A,1,,,,8418392005813,"['p2p electronics contract method', 'commerce based', 'block chain', 'kind']","['control ； using block chain technical advantage', 'block chain p2p physical commodity method', 'using block chain technical characterstic', 'line physical commodity connected transaction mechanism', 'online trading cost ； solve', 'block chain electronics contract technology', 'believable physical commodity transaction', 'credit heavy dependence third', 'parties mutually comments mechanism', 'parties mortgage digital asset', 'physical commodity transaction', 'reduce transaction cost', 'online transaction third', 'traditional p2p e', 'improve trading efficiency', 'block chain', 'present invention proposes', 'entity asset exchanges', 'digital asset exchanges', 'digital asset exchange', 'third side intervenes', 'pay cash pledge', 'party platform management', 'electronics contract', 'commodity equivalence', 'digital asset', 'party platform', 'cash pledge', 'user experience', 'related question', 'got around', 'decentralization based', 'control', 'confirmation operation', 'mechanism', 'line', 'commerce transactions', 'parties', 'third', 'commerce', 'stranger', 'solves', 'sides', 'saves', 'receiving', 'problem', 'needed', 'merchandising', 'kind', 'introduce', 'devise', 'delivering', 'completion', 'completed', 'case', 'also']"
CN,CN,P,A ,A kind of system of P2P network loan platforms operations risks assessment,"The present invention relates to a kind of systems of P2P network loan platforms operations risks assessment, go out alternative features table by carrying out analytic induction to a large amount of P2P platform datas, then the feature in alternative features table being divided into value data characteristic and data, there are characteristics, correlation analysis is carried out by the risk index to the two characteristics and platform, model is trained to select main feature, it is ensured that the accuracy rate and raising working efficiency of model.","1. a kind of system of P2P network loan platforms operations risks assessment, which is characterized in that include the following steps：1) first time data acquire：Obtain the operation data of multiple P2P network loan platforms；2) alternative features table is established：The operation data obtained to the acquisition of first time data is screened and is extracted, and feature is extracted The corresponding data with feature, data definition corresponding with feature are characterized data, the pattern feature according to characteristic Tagsort is established into alternative features table；3) feature in alternative features table is divided into two characteristics：There are characteristic, value data is special for value data characteristic and data Property is characterized existing characteristics data this characteristics, and there are characteristics to be characterized with the presence or absence of this characteristic for data；4) degree of correlation analysis and Feature Selection：Pearson correlation coefficients, Spearman are used to the value data characteristic of feature Related coefficient, Kendall's correlations coefficient and p value carry out correlation analysis, and by above-mentioned four kinds of analysis methods, each feature obtains 4 assay values are obtained, 0.4 or more correlation analysis absolute value, while 0.005 feature below of P values are chosen；The data of feature are deposited Correlation analysis is carried out using weak relationship index in characteristic, the weak relationship index of feature A=(the feature A of all normal platforms is deposited In the ratio of the feature A missing datas of ratio+all escape platforms of data)/2, choose the maximum several spies of weak relationship index Sign；Choosing while meeting selection condition and the data of feature of the value data characteristic correlation analysis of feature, that there are characteristics is related Property analysis selection condition feature, be defined as main feature；5) risk evaluation model is built：Establish the risk evaluation model of an operations risks value for calculating platform；6) model training：The escape platform of the normal platform and the first predetermined amount of first predetermined amount in taking first time data to acquire Data, the main feature and main feature data for extracting these platforms are trained risk evaluation model；7) risk evaluation model is determined：After model training, the normal platform of the second predetermined amount in taking first time data to acquire With the data of the escape platform of the second predetermined amount, the main features of these platforms is extracted with main feature data to risk assessment Model is tested, and platform data and the platform data of training of test cannot be overlapped, commented risk by test result Estimate model to be adjusted, retest and adjustment, until test result is capable of the operations risks value of accurate response platform；8) secondary data acquires：Obtain the operation data for the P2P network loan platforms for needing to assess；9) data prediction：Main feature and main feature data are extracted in the operation data that secondary data acquisition obtains；10) risk exports：The risk that main feature after data prediction is put into main feature data after training is commented Estimate in model, obtains value-at-risk, value-at-risk is input in determining device, to export degree of risk.",7.0,2018-10302058,2018-04-04,108510387,2018-09-07,,,Feng Shicheng,Feng Shicheng,,,,0.0,,0.0,,CN108510387A,1,,,,8418371009016,"['p2p network loan platforms operations risks assessment', 'system', 'kind']","['p2p network loan platforms operations risks assessment', 'p2p platform datas', 'raising working efficiency', 'present invention relates', 'alternative features table', 'value data characteristic', 'select main feature', 'risk index', 'large amount', 'correlation analysis', 'analytic induction', 'accuracy rate', 'two characteristics', 'platform', 'feature', 'data', 'characteristics', 'trained', 'systems', 'model', 'kind', 'go', 'ensured', 'divided', 'carrying', 'carried']"
CN,CN,P,A ,A kind of P2P network loan platforms operations risks assessment system,"The present invention relates to a kind of P2P network loan platforms operations risks assessment systems, its object is to disclose a kind of P2P network loan platforms operations risks assessment system, this method is by collecting a large amount of platform data, to summarize alternative sign table, then correlation analysis is carried out to the feature in alternative features table, extract main feature, the index of data extraction is determined according to main feature, the index of data extraction includes keyword, the pattern feature and the corresponding extracting rule of different mode feature of keyword, the index extracted by data is to needing platform data to be tested precisely to be extracted, ensure the accuracy of assessment result.","1. a kind of P2P network loan platforms operations risks assessment system, which is characterized in that include the following steps：1) first time data acquire：Obtain the operation data of multiple P2P network loan platforms；2) alternative features table is established：The operation data obtained to the acquisition of first time data is screened and is extracted, and feature is extracted The corresponding data with feature, data definition corresponding with feature are characterized data, the pattern feature according to characteristic Tagsort is established into alternative features table；3) degree of correlation analysis and Feature Selection：To feature using Pearson correlation coefficients, Spearman's correlation coefficient, Ken Deer Related coefficient and p value carry out correlation analysis, and by above-mentioned four kinds of analysis methods, each feature obtains 4 assay values, choose 0.4 or more correlation analysis absolute value, while 0.005 feature below of P values, main feature is defined as by this Partial Feature；4) risk evaluation model is built：Establish the risk evaluation model of an operations risks value for calculating platform；5) model training：The escape platform of the normal platform and the first predetermined amount of first predetermined amount in taking first time data to acquire Data, the main feature and main feature data for extracting these platforms are trained risk evaluation model；6) risk evaluation model is determined：After model training, the normal platform of the second predetermined amount in taking first time data to acquire With the data of the escape platform of the second predetermined amount, the main features of these platforms is extracted with main feature data to risk assessment Model is tested, and platform data and the platform data of training of test cannot be overlapped, commented risk by test result Estimate model to be adjusted, retest and adjustment, until test result is capable of the operations risks value of accurate response platform；7) secondary data acquires：Obtain the operation data for the P2P network loan platforms for needing to assess；8) data prediction：The index of data extraction is determined according to main feature, the index of data extraction includes keyword, key The pattern feature and the corresponding extracting rule of different mode feature of word, according to the index of extraction, use pattern matching, numerical value model It encloses the operation data obtained to secondary data acquisition with logic judging method and is screened and extracted main feature and main spy Data are levied, main feature and main feature data are then subjected to collect statistics by pattern feature；9) risk exports：Main feature after data prediction is put into the risk assessment after training with main feature data In model, value-at-risk is obtained, value-at-risk is input in determining device, to export degree of risk.",6.0,2018-10302056,2018-04-04,108492050,2018-09-04,,,Feng Shicheng,Feng Shicheng,,,,0.0,,0.0,,CN108492050A,1,,,,8418362010227,"['p2p network loan platforms operations risks assessment system', 'kind']","['p2p network loan platforms operations risks assessment systems', 'p2p network loan platforms operations risks assessment system', 'summarize alternative sign table', 'data extraction includes keyword', 'alternative features table', 'present invention relates', 'corresponding extracting rule', 'different mode feature', 'assessment result', 'needing platform data', 'extract main feature', 'data extraction', 'platform data', 'main feature', 'pattern feature', 'tested precisely', 'large amount', 'determined according', 'correlation analysis', 'index extracted', 'keyword', 'data', 'feature', 'index', 'extracted', 'object', 'method', 'kind', 'ensure', 'disclose', 'collecting', 'carried', 'accuracy']"
CN,CN,P,A ,A kind of P2P loan platforms operations risks assessment system,"The present invention relates to a kind of P2P loan platforms operations risks assessment systems, go out alternative features table by carrying out analytic induction to a large amount of P2P platform datas, then the feature in alternative features table being divided into value data characteristic and data, there are characteristics, correlation analysis is carried out by the risk index to the two characteristics and platform, model is trained to select main feature, it is ensured that the accuracy rate and raising working efficiency of model.","1. a kind of P2P loan platforms operations risks assessment system, which is characterized in that include the following steps：1) first time data acquire：Obtain the operation data of multiple P2P loan platforms；2) alternative features table is established：The operation data obtained to the acquisition of first time data is screened and is extracted, and feature is extracted The corresponding data with feature, data definition corresponding with feature are characterized data, the pattern feature according to characteristic Tagsort is established into alternative features table；3) feature in alternative features table is divided into two characteristics：There are characteristic, value data is special for value data characteristic and data Property is characterized existing characteristics data this characteristics, and there are characteristics to be characterized with the presence or absence of this characteristic for data；4) degree of correlation analysis and Feature Selection：Pearson correlation coefficients, Spearman are used to the value data characteristic of feature Related coefficient, Kendall's correlations coefficient and p value carry out correlation analysis, and by above-mentioned four kinds of analysis methods, each feature obtains 4 assay values are obtained, 0.4 or more correlation analysis absolute value, while 0.005 feature below of P values are chosen；The data of feature are deposited Correlation analysis is carried out using strong relationship index in characteristic, the feature A of strong relationship index=all normal platforms of feature A exists There are the ratios of data by the feature A of all escape platforms of ratio-of data, choose the maximum several features of strong relationship index；Choosing Take while meeting the value data characteristic correlation analysis of feature selection condition and the data of feature there are characteristic correlations point The feature of the selection condition of analysis, is defined as main feature；5) risk evaluation model is built：Establish the risk evaluation model of an operations risks value for calculating platform；6) model training：The escape platform of the normal platform and the first predetermined amount of first predetermined amount in taking first time data to acquire Data, the main feature and main feature data for extracting these platforms are trained risk evaluation model；7) risk evaluation model is determined：After model training, the normal platform of the second predetermined amount in taking first time data to acquire With the data of the escape platform of the second predetermined amount, the main features of these platforms is extracted with main feature data to risk assessment Model is tested, and platform data and the platform data of training of test cannot be overlapped, commented risk by test result Estimate model to be adjusted, retest and adjustment, until test result is capable of the operations risks value of accurate response platform；8) secondary data acquires：Obtain the operation data for the P2P loan platforms for needing to assess；9) data prediction：Main feature and main feature data are extracted in the operation data that secondary data acquisition obtains；10) risk exports：The risk that main feature after data prediction is put into main feature data after training is commented Estimate in model, obtains value-at-risk, value-at-risk is input in determining device, to export degree of risk.",7.0,2018-10302064,2018-04-04,108492176,2018-09-04,,,Feng Shicheng,Feng Shicheng,,,,0.0,,0.0,,CN108492176A,1,,,,8418362010228,"['p2p loan platforms operations risks assessment system', 'kind']","['p2p loan platforms operations risks assessment systems', 'p2p platform datas', 'raising working efficiency', 'present invention relates', 'alternative features table', 'value data characteristic', 'select main feature', 'risk index', 'large amount', 'correlation analysis', 'analytic induction', 'accuracy rate', 'two characteristics', 'platform', 'feature', 'data', 'characteristics', 'trained', 'model', 'kind', 'go', 'ensured', 'divided', 'carrying', 'carried']"
CN,CN,P,A ,Cost management method during p2p vehicles are rented,"A kind of cost management method during p2p vehicles are rented comprising following steps：S01, car owner's personalization vehicle drive assessment models are generated；S02, assessment generation assessment result is carried out to the driving information of vehicle borrower；S03, configuration disbursement and sattlement coefficient, vehicle rent is generated according to assessment result and disbursement and sattlement coefficient.The present invention compared with the existing technology, can realize：According to information such as the actual state of host vehicle, road conditions, especially contain the personalized driving style of car owner, it accurately judges that whether the driving style of vehicle driver meets the expection of car owner, subsequently whether continues with to lend for car owner and provide foundation to identical people.And disbursement and sattlement coefficient can be configured, vehicle rent is generated according to assessment result and disbursement and sattlement coefficient so that charge is more personalized.","Cost management method during 1. a kind of p2p vehicles are rented, which is characterized in that it includes the following steps：S01, car owner's personalization vehicle drive assessment models are generated；S02, assessment generation assessment result is carried out to the driving information of vehicle borrower；S03, configuration disbursement and sattlement coefficient, vehicle rent is generated according to assessment result and disbursement and sattlement coefficient.",6.0,2018-10062340,2018-01-23,108389072,2018-08-10,,,"The right information technology Advisory Co., Ltd of Wuhan Kang Hui",Zhong Di,,,,0.0,,0.0,,CN108389072A,1,,,,8418331001599,"['cost management method', 'p2p vehicles', 'rented']","['rented comprising following steps ： s01', 'personalization vehicle drive assessment models', 'vehicle borrower ； s03', 'assessment generation assessment result', 'realize ： according', 'vehicle driver meets', 'present invention compared', 'generated ； s02', 'cost management method', 'subsequently whether continues', 'personalized driving style', 'assessment result', 'vehicle rent', 'host vehicle', 'generated according', 'driving style', 'sattlement coefficient', 'road conditions', 'provide foundation', 'p2p vehicles', 'identical people', 'existing technology', 'especially contain', 'car owner', 'actual state', 'accurately judges', 'driving information', 'configuration disbursement', 'whether', 'personalized', 'information', 'disbursement', 'lend', 'kind', 'expection', 'configured', 'charge', 'carried']"
CN,CN,P,A ,Method for identifying default risks of P2P network lending borrowers,"The invention provides a method for identifying default risks of P2P network lending borrowers. The method comprises the following steps of: 1, acquiring P2P lending application data information; 2, preprocessing data to obtain lending description text information; 3, carrying out feature extraction on the lending description text information; 4, identifying a default risk of P2P network lending through combining objective basic information features of a borrower and the lending description text information by using a support vector machine classification method; and 5, carrying out SVM kernelfunction parameter optimization by adoption of ten-fold cross validation. According to the method for identifying default risks of P2P network lending borrowers, the default identification correctness is improved by 10% or more than 10% and the highest default identification correctness is 73.42%.","A kind of 1. method of identification P2P network loan borrower's default risks, it is characterised in that include the following steps：Step 1, gathers P2P loan application data messages；Step 2, pre-processes data, obtains description text message of borrowing money；Step 3, to borrowing money, description text message carries out feature extraction, and the text feature of extraction includes：(1) text size, (2) Readability, (3) positive negative emotion, (4) speech intensity, (5) promise breaking text feature word frequency variable,Step 4, using support vector machine classification method, with reference to the objective base information characteristics of borrower, and description of borrowing money is literary Default risk of this information to P2P network loans is identified, including step：First, the data in data set are pressed into borrower Refund behavior be divided into two classes：Refund, break a contract as scheduled, then, build bis- graders of SVM, call the training letter of support vector machines It is several that data are trained；Step 5, SVM kernel functional parameter optimizations are carried out using ten folding cross validations：Data set is randomly divided into 10 parts, takes 9 every time Part does the nicety of grading of validation test accuracy rate testing model, assesses parameter as training set training grader, remaining portion Performance, calculate Prediction sum squares, the above process is repeated 10 times, finally the Prediction sum squares of 10 times are averaged again The alternatively foundation of optimal models structure.",9.0,2017-11229175,2017-11-29,108009911,2018-05-08,,,SHANGHAI PUBLISHING AND PRINTING COLLEGE,CHEN QUN | ZONG LIYONG,,,,0.0,,0.0,,CN108009911A,1,,,,8418192006520,"['p2p network lending borrowers', 'identifying default risks', 'method']","['acquiring p2p lending application data information', 'combining objective basic information features', 'obtain lending description text information', 'support vector machine classification method', 'lending description text information', 'p2p network lending borrowers', 'svm kernelfunction parameter optimization', 'highest default identification correctness', 'p2p network lending', 'default identification correctness', 'fold cross validation', 'identifying default risks', 'preprocessing data', 'default risk', 'method comprises', 'invention provides', 'following steps', 'feature extraction', '42 %.', 'method', 'identifying', 'using', 'ten', 'improved', 'carrying', 'borrower', 'adoption', 'according', '73', '5', '4', '3', '2', '10', '1']"
CN,CN,P,B ,P2P (peer-to-peer) network lending risk prediction system based on text analysis,"The invention relates to P2P network lending risk prediction systems, in particular to a P2P network lending risk prediction system based on text analysis. The P2P network lending risk prediction system based on text analysis comprises a platform data acquisition module, a text feature extraction module, a risk prediction model building and training module and a risk prediction module. The text feature extraction module is used for performing word segmentation on a loan description text acquired by the platform data acquisition module, removing words having no actual meaning according to a stop word list and extracting emotional characteristics S, theme characteristics T and readability characteristics R in the loan description text; and then a risk prediction model is built and trained; finally the emotional characteristics S, the theme characteristics T and the readability characteristics R in the new loan list and user basic data, user credit data and loan list data in the platform data acquisition module are used as input variables to be input into the risk prediction model to obtain a risk prediction result. The P2P network lending risk prediction system based on text analysis is applicable to P2P network lending risk prediction.","1. a kind of P2P network loan Risk Forecast Systems based on text analyzing, it is characterised in that the system includes：Platform data acquisition module, for the user data and transaction data in automatic data collection P2P network loan platforms, including with Family master data, user credit data, loaning bill table data, borrow money description text, loaning bill repayment situation；Text character extraction module, for obtaining in platform data acquisition module "" description text of borrowing money "" and carrying out word segmentation simultaneously The word of no physical meaning is removed according to word list is disabled, while is responsible for the semantic feature that extraction loaning bill description text includes, Including affective characteristics S, theme feature T and readable feature R；Risk forecast model is built, training module, for building and training risk forecast model；Risk profile module, for predicting, exporting the risk situation of new loaning bill list.",5.0,2015-10076663,2015-02-12,104616198,2015-05-13,104616198,2018-01-26,HARBIN INSTITUTE OF TECHNOLOGY,YE QIANG | GUO LEI | ZHANG ZIQIONG | ZHANG ZILI,,,,4.0,CN103886501B  | CN103646343A | CN103345688A | CN102819576A,0.0,,CN104616198B,1,,,,8418051014345,"['network lending risk prediction system based', 'text analysis', 'peer', 'p2p']","['p2p network lending risk prediction system based', 'p2p network lending risk prediction systems', 'p2p network lending risk prediction', 'risk prediction model building', 'platform data acquisition module', 'text feature extraction module', 'loan description text acquired', 'risk prediction model', 'risk prediction module', 'risk prediction result', 'loan description text', 'loan list data', 'user credit data', 'user basic data', 'new loan list', 'stop word list', 'performing word segmentation', 'actual meaning according', 'text analysis comprises', 'readability characteristics r', 'extracting emotional characteristics', 'text analysis', 'training module', 'emotional characteristics', 'theme characteristics', 'removing words', 'invention relates', 'input variables', 'input', 'used', 'trained', 'particular', 'obtain', 'finally', 'built', 'applicable']"
CN,CN,P,A ,Loan system based on P2P (person-to-person or peer-to-peer) financing platform,"The invention discloses a loan system based on a P2P (person-to-person or peer-to-peer) financing platform. The system includes an application unit, a server, a rating unit, an information acquisitionunit, a limit monitoring unit, an artificial examination and verification unit, a repayment monitoring unit, a database, a loaning and repayment unit, an information uploading unit, a reminding and money urging unit and a credit investigation system. The application unit, the repayment monitoring unit, the limit monitoring unit and the rating unit are all connected with the server. The artificialexamination and verification unit is connected with the server. According to the system, automatic evaluation on a credit situation and a loan rating of a user can be realized through arrangement ofthe information acquisition unit, the credit investigation system and the rating unit; and carrying our further confirmation through the artificial examination and verification unit when a loan moneyamount of the user is greater than a set value can be realized through arrangement of the limit monitoring unit, loaning will be carried out only after confirmation is successful, and occurrence of acase where a large-amount loan limit is given to the user due to occurrence of a system rating error or a case where partial factors are not taken into account and losses brought thereby to the platform are prevented.","A kind of 1. loan system based on P2P financing platforms, it is characterised in that including application unit, server, grading unit, Information acquisition unit, amount monitoring unit, manual examination and verification unit, refund monitoring unit, database, release money unit, in information Leaflet member, prompting and prompt member, credit investigation system；Wherein, the application unit, refund monitoring unit, amount monitoring unit and grading unit are connected with server；Wherein, the manual examination and verification unit is connected with server；Wherein, the server and unit of making loans, information uploading unit, prompting and prompt member, database and acquisition of information list Member is connected；Wherein, described information acquiring unit is connected with grading unit；Wherein described information acquiring unit and information uploading unit is connected by network communication protocol and credit investigation system.",10.0,2017-10846129,2017-09-19,107609973,2018-01-19,,,"HEFEI INZYME INFORMATION TECHNOLOGY CO., LTD.",ZHAO QIFENG | HUANG MINGMING | HOU LIFENG | LIU SONG | FU QIANG,,,,0.0,,0.0,,CN107609973A,1,,,,8418041010742,"['loan system based', 'financing platform', 'person', 'peer', 'p2p']","['arrangement ofthe information acquisition unit', 'information uploading unit', 'losses brought thereby', 'money urging unit', 'limit monitoring unit', 'amount loan limit', 'repayment monitoring unit', 'loan system based', 'credit investigation system', 'system rating error', 'information acquisitionunit', 'repayment unit', 'rating unit', 'loan rating', 'verification unit', 'application unit', 'loan moneyamount', 'credit situation', 'system includes', 'set value', 'partial factors', 'invention discloses', 'automatic evaluation', 'artificial examination', 'user due', 'financing platform', 'arrangement', 'system', 'user', 'platform', 'taken', 'successful', 'server', 'reminding', 'realized', 'prevented', 'person', 'peer', 'p2p', 'occurrence', 'loaning', 'large', 'greater', 'given', 'database', 'connected', 'confirmation', 'case', 'carrying', 'carried', 'artificialexamination', 'account', 'according', 'acase']"
CN,CN,P,A ,Method and system for facing P2P platform operation risk assessment,"The present invention discloses a method and system for facing P2P platform operation risk assessment. The method comprises: obtaining operation data of a P2P network lending platform, performing data preprocessing, and cleaning out information which is not correlated with the P2P network lending platform or collected error information; performing selection through the fine-grained time window, and reflecting changing of the P2P network lending operation condition; performing data storage after cleaning; performing feature selection, and employing the mode of calculation of information gain to select the most correlation feature; determining one set of weight coefficients of the platform according to the risk indexes of the platform; and finally according to the obtained weight coefficients, calculating and confirming the operation risk index of the P2P platform in each time window. The method and system for facing P2P platform operation risk assessment can assess the changing condition of the operation risk of the lending platform to reflect the platform development and the operation trend of the network platform in a long-term phase, provide reference for investors and have wide technology and market application value.","1. a kind of appraisal procedure towards P2P network loan platform operations risks, it is characterised in that described method includes following Step：(1) operation data of P2P network loan platforms is obtained；(2) data prediction, the mistake letter for washing some information incoherent with P2P network loan platforms or being collected into Breath；(3) chosen by fine-grained time window, to reflect the change of P2P network loan traffic-operating periods；(4) data after cleaning are preserved；(5) Feature Selection：In training set, for multiple features of P2P network loan platforms, by the way of information gain is calculated Choose maximally related feature；(6) to each time window t, there is feature { x1,x2,…,xnN feature is shared, if the risk index of platform is R,The characteristic value of the attribute in t-th of time window is represented, it can thus be concluded that the weight coefficient of one group of platform； (7) according to the above-mentioned weight coefficient tried to achieve, calculate and confirm the operations risks index of the P2P platforms each time window Nei.",7.0,2017-10396915,2017-05-31,107423878,2017-12-01,,,NANJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS,SUN GUOZI | LIU PAN | LI HUAKANG | JIA XUESONG,,,,0.0,,0.0,,CN107423878A,1,,,,8417491010704,"['facing p2p platform operation risk assessment', 'system', 'method']","['facing p2p platform operation risk assessment', 'p2p network lending operation condition', 'p2p network lending platform', 'operation risk index', 'obtaining operation data', 'present invention discloses', 'market application value', 'determining one set', 'performing data storage', 'performing data preprocessing', 'obtained weight coefficients', 'grained time window', 'collected error information', 'performing feature selection', 'p2p platform', 'operation risk', 'network platform', 'lending platform', 'operation trend', 'changing condition', 'risk indexes', 'performing selection', 'weight coefficients', 'time window', 'platform development', 'platform according', 'correlation feature', 'wide technology', 'term phase', 'reflecting changing', 'provide reference', 'information gain', 'finally according', 'method comprises', 'platform', 'information', 'method', 'system', 'select', 'reflect', 'mode', 'long', 'investors', 'fine', 'employing', 'correlated', 'confirming', 'cleaning', 'calculation', 'calculating', 'assess']"
CN,CN,P,A ,Intelligent preprocessing tool and method applied to mass P2P network loan financial data,"The invention discloses an intelligent preprocessing tool and method applied to mass P2P network loan financial data. According to the invention, accurate and efficient preprocessing can be performed on mass P2P network loan financial data before being stored into a standard financial service database, and the accuracy and validity of the data are ensured, so that an effective monitoring mechanism for a P2P network loan platform is built, and supervision for the P2P network loan platform is effectively enhanced. Preprocessing comprises that validity and integrity checking rules are established so as to realize checking for the data before getting into the database; data classification, data deduplication, data correction, data conversion and state calculation are performed so as to realize processing for the data before getting into the database; and finally, the data is loaded into the standard financial service database.","1. one kind melts data intelligence preprocess method applied to magnanimity P2P net monetary allowances, it is characterised in that data access message queue System, carries out data prediction, with the role of consumer, the consumption data from message queue, carries out integrality and validity is tested Card, if checking does not pass through, is transferred to dealing of abnormal data sub-process, and borrows platform return error code to net, if the verification passes, Processing sub-process is transferred to, storage pre-treatment is carried out, data classification, data deduplication, data correction, data conversion, state meter is carried out Calculate, data are loaded, most net borrows finance data and is loaded into internet financial business storehouse at last.",7.0,2017-10392181,2017-05-27,107220892,2017-09-29,,,"NATIONAL COMPUTER NETWORK AND INFORMATION SECURITY MANAGEMENT CENTER | BEIJING SCISTOR TECHNOLOGIES CO., LTD.",MA XIUJUAN | MAO HONGLIANG | WANG XIUWEN | SU MURAN | ZHANG LUCHEN | WU ZHEN | LI YANYU | TANG JIQIANG | XU XIAOLEI | LI CHUANHAI | SU ZHIJIAN | XIE MING,,,,0.0,,0.0,,CN107220892A,1,,,,8417401004297,"['mass p2p network loan financial data', 'intelligent preprocessing tool', 'method applied']","['mass p2p network loan financial data', 'p2p network loan platform', 'standard financial service database', 'effective monitoring mechanism', 'integrity checking rules', 'intelligent preprocessing tool', 'realize checking', 'data deduplication', 'data correction', 'data conversion', 'data classification', 'preprocessing comprises', 'efficient preprocessing', 'state calculation', 'realize processing', 'method applied', 'effectively enhanced', 'invention discloses', 'database', 'data', 'invention', 'validity', 'supervision', 'stored', 'performed', 'loaded', 'getting', 'finally', 'established', 'ensured', 'built', 'accurate', 'accuracy', 'according']"
